model:[vocabulary,percentage_correct,percentage_incorrect]
model_75_15_0:[11923, 12.26201459364254, 87.73798540635745]
model_200_10_0:[11923, 15.180743101568398, 84.8192568984316]
model_150_15_0:[11923, 14.140736391847689, 85.85926360815232]
model_50_10_0:[11923, 10.978780508261343, 89.02121949173866]
model_100_5_0:[11923, 14.501383879895998, 85.498616120104]
model_175_10_0:[11923, 15.046548687410887, 84.95345131258911]
model_225_15_0:[11923, 14.702675501132264, 85.29732449886774]
model_100_15_0:[11923, 14.157510693617379, 85.84248930638262]
model_25_15_0:[11923, 6.281976012748469, 93.71802398725153]
model_125_10_0:[11923, 14.316866560429423, 85.68313343957058]
model_150_5_0:[11923, 15.692359305543906, 84.3076406944561]
model_75_5_0:[11923, 13.520087226369201, 86.4799127736308]
model_25_5_0:[11923, 7.63230730520842, 92.36769269479159]
model_200_5_0:[11923, 15.331711817495597, 84.6682881825044]
model_175_5_0:[11923, 15.482680533422796, 84.5173194665772]
model_125_5_0:[11923, 15.407196175459195, 84.59280382454081]
model_125_15_0:[11923, 14.21622074981129, 85.7837792501887]
model_100_10_0:[11923, 14.3504151639688, 85.6495848360312]
model_25_10_0:[11923, 6.701333556990691, 93.29866644300931]
model_225_5_0:[11923, 15.692359305543906, 84.3076406944561]
model_50_15_0:[11923, 11.129749224188542, 88.87025077581146]
model_175_15_0:[11923, 15.172355950683553, 84.82764404931645]
model_225_10_0:[11923, 15.767843663507506, 84.2321563364925]
model_75_10_0:[11923, 13.469764321060135, 86.53023567893986]
model_50_5_0:[11923, 11.742011238782185, 88.2579887612178]
model_200_15_0:[11923, 14.207833598926445, 85.79216640107356]
model_150_10_0:[11923, 14.652352595823197, 85.3476474041768]
