model:[vocabulary,percentage_correct,percentage_incorrect]
model_75_15_0:[13330, 14.921230307576893, 85.07876969242311]
model_200_10_0:[13330, 17.074268567141786, 82.92573143285821]
model_150_15_0:[13330, 16.796699174793698, 83.2033008252063]
model_50_10_0:[13330, 13.338334583645912, 86.66166541635408]
model_100_5_0:[13330, 16.3615903975994, 83.6384096024006]
model_175_10_0:[13330, 17.051762940735184, 82.94823705926481]
model_225_15_0:[13330, 17.989497374343586, 82.01050262565641]
model_100_15_0:[13330, 16.309077269317328, 83.69092273068267]
model_25_15_0:[13330, 7.636909227306826, 92.36309077269317]
model_125_10_0:[13330, 16.699174793698425, 83.30082520630158]
model_150_5_0:[13330, 16.864216054013504, 83.1357839459865]
model_75_5_0:[13330, 15.138784696174042, 84.86121530382596]
model_25_5_0:[13330, 8.469617404351087, 91.5303825956489]
model_200_5_0:[13330, 16.879219804951237, 83.12078019504877]
model_175_5_0:[13330, 17.134283570892723, 82.86571642910727]
model_125_5_0:[13330, 16.061515378844714, 83.93848462115528]
model_125_15_0:[13330, 16.856714178544635, 83.14328582145536]
model_100_10_0:[13330, 16.82670667666917, 83.17329332333084]
model_25_10_0:[13330, 8.454613653413354, 91.54538634658664]
model_225_5_0:[13330, 16.879219804951237, 83.12078019504877]
model_50_15_0:[13330, 13.270817704426108, 86.72918229557389]
model_175_15_0:[13330, 17.374343585896472, 82.62565641410352]
model_225_10_0:[13330, 17.411852963240808, 82.58814703675918]
model_75_10_0:[13330, 15.836459114778695, 84.16354088522131]
model_50_5_0:[13330, 13.780945236309078, 86.21905476369093]
model_200_15_0:[13330, 17.456864216054015, 82.54313578394598]
model_150_10_0:[13330, 17.029257314328582, 82.97074268567141]
