model:[vocabulary,percentage_correct,percentage_incorrect]
model_75_15_0:[11855, 2.6402361872627584, 97.35976381273724]
model_200_10_0:[11855, 2.707718262336567, 97.29228173766343]
model_150_15_0:[11855, 2.859552931252636, 97.14044706874736]
model_50_10_0:[11855, 2.4884015183466888, 97.51159848165331]
model_100_5_0:[11855, 3.146351750316322, 96.85364824968367]
model_175_10_0:[11855, 2.986081822016027, 97.01391817798397]
model_225_15_0:[11855, 2.631800927878532, 97.36819907212147]
model_100_15_0:[11855, 2.4968367777309153, 97.50316322226908]
model_25_15_0:[11855, 1.703922395613665, 98.29607760438634]
model_125_10_0:[11855, 2.8005061155630533, 97.19949388443695]
model_150_5_0:[11855, 3.0029523407844794, 96.99704765921553]
model_75_5_0:[11855, 3.112610712779418, 96.88738928722059]
model_25_5_0:[11855, 1.9148038802193168, 98.08519611978068]
model_200_5_0:[11855, 2.977646562631801, 97.0223534373682]
model_175_5_0:[11855, 2.7836355967946016, 97.2163644032054]
model_125_5_0:[11855, 3.1716575284690003, 96.828342471531]
model_125_15_0:[11855, 2.446225221425559, 97.55377477857444]
model_100_10_0:[11855, 2.218473218051455, 97.78152678194854]
model_25_10_0:[11855, 1.8304512863770561, 98.16954871362294]
model_225_5_0:[11855, 2.867988190636862, 97.13201180936314]
model_50_15_0:[11855, 2.1678616617460986, 97.8321383382539]
model_175_15_0:[11855, 2.2859552931252636, 97.71404470687473]
model_225_10_0:[11855, 2.5390130746520456, 97.46098692534795]
model_75_10_0:[11855, 2.4209194432728807, 97.57908055672712]
model_50_5_0:[11855, 3.070434415858288, 96.92956558414171]
model_200_15_0:[11855, 2.4040489245044285, 97.59595107549556]
model_150_10_0:[11855, 2.707718262336567, 97.29228173766343]
