model:[vocabulary,percentage_correct,percentage_incorrect]
model_75_15_0:[12455, 4.74508229626656, 95.25491770373344]
model_200_10_0:[12455, 5.194700923323967, 94.80529907667604]
model_150_15_0:[12455, 4.5523885989562425, 95.44761140104376]
model_50_10_0:[12455, 5.41951023685267, 94.58048976314734]
model_100_5_0:[12455, 5.9012444801284625, 94.09875551987153]
model_175_10_0:[12455, 4.969891609795263, 95.03010839020473]
model_225_15_0:[12455, 4.704937775993577, 95.29506222400641]
model_100_15_0:[12455, 5.106382978723404, 94.8936170212766]
model_25_15_0:[12455, 3.243677238057005, 96.756322761943]
model_125_10_0:[12455, 5.299076676033721, 94.70092332396628]
model_150_5_0:[12455, 5.41951023685267, 94.58048976314734]
model_75_5_0:[12455, 5.556001605780811, 94.4439983942192]
model_25_5_0:[12455, 3.725411481332798, 96.2745885186672]
model_200_5_0:[12455, 5.909273384183059, 94.09072661581695]
model_175_5_0:[12455, 6.286631874749096, 93.71336812525091]
model_125_5_0:[12455, 6.310718586912886, 93.68928141308712]
model_125_15_0:[12455, 4.873544761140105, 95.1264552388599]
model_100_10_0:[12455, 5.467683661180249, 94.53231633881975]
model_25_10_0:[12455, 3.492573263749498, 96.5074267362505]
model_225_5_0:[12455, 6.270574066639904, 93.7294259333601]
model_50_15_0:[12455, 4.648735447611401, 95.3512645523886]
model_175_15_0:[12455, 4.905660377358491, 95.09433962264151]
model_225_10_0:[12455, 4.937775993576877, 95.06222400642312]
model_75_10_0:[12455, 5.16258530710558, 94.83741469289441]
model_50_5_0:[12455, 5.291047771979125, 94.70895222802088]
model_200_15_0:[12455, 4.769169008430349, 95.23083099156965]
model_150_10_0:[12455, 4.881573665194701, 95.11842633480529]
