model:[vocabulary,percentage_correct,percentage_incorrect]
model_75_15_0:[12992, 17.595443349753694, 82.4045566502463]
model_200_10_0:[12992, 19.79679802955665, 80.20320197044335]
model_150_15_0:[12992, 19.558189655172413, 80.44181034482759]
model_50_10_0:[12992, 15.67887931034483, 84.32112068965517]
model_100_5_0:[12992, 18.611453201970445, 81.38854679802957]
model_175_10_0:[12992, 19.904556650246306, 80.0954433497537]
model_225_15_0:[12992, 19.09636699507389, 80.9036330049261]
model_100_15_0:[12992, 18.488300492610836, 81.51169950738915]
model_25_15_0:[12992, 9.251847290640395, 90.7481527093596]
model_125_10_0:[12992, 20.23552955665025, 79.76447044334975]
model_150_5_0:[12992, 19.535098522167488, 80.46490147783251]
model_75_5_0:[12992, 17.564655172413794, 82.4353448275862]
model_25_5_0:[12992, 9.60591133004926, 90.39408866995073]
model_200_5_0:[12992, 19.46582512315271, 80.53417487684729]
model_175_5_0:[12992, 19.527401477832512, 80.47259852216749]
model_125_5_0:[12992, 18.742302955665025, 81.25769704433498]
model_125_15_0:[12992, 19.504310344827587, 80.49568965517241]
model_100_10_0:[12992, 18.742302955665025, 81.25769704433498]
model_25_10_0:[12992, 9.967672413793103, 90.03232758620689]
model_225_5_0:[12992, 19.535098522167488, 80.46490147783251]
model_50_15_0:[12992, 15.170874384236452, 84.82912561576354]
model_175_15_0:[12992, 19.742918719211822, 80.25708128078819]
model_225_10_0:[12992, 19.627463054187192, 80.37253694581281]
model_75_10_0:[12992, 17.710899014778324, 82.28910098522168]
model_50_5_0:[12992, 14.92456896551724, 85.07543103448276]
model_200_15_0:[12992, 19.766009852216747, 80.23399014778325]
model_150_10_0:[12992, 19.71213054187192, 80.28786945812809]
