model:[vocabulary,percentage_correct,percentage_incorrect]
model_75_15_0:[11664, 8.30761316872428, 91.69238683127571]
model_200_10_0:[11664, 9.705075445816187, 90.29492455418381]
model_150_15_0:[11664, 8.710562414266118, 91.28943758573388]
model_50_10_0:[11664, 7.51886145404664, 92.48113854595336]
model_100_5_0:[11664, 10.510973936899862, 89.48902606310014]
model_175_10_0:[11664, 9.593621399176955, 90.40637860082305]
model_225_15_0:[11664, 8.830589849108367, 91.16941015089162]
model_100_15_0:[11664, 8.367626886145404, 91.6323731138546]
model_25_15_0:[11664, 4.158093278463649, 95.84190672153635]
model_125_10_0:[11664, 9.122085048010973, 90.87791495198903]
model_150_5_0:[11664, 9.902263374485596, 90.0977366255144]
model_75_5_0:[11664, 9.147805212620028, 90.85219478737997]
model_25_5_0:[11664, 6.112825788751715, 93.88717421124828]
model_200_5_0:[11664, 10.16803840877915, 89.83196159122086]
model_175_5_0:[11664, 10.12517146776406, 89.87482853223594]
model_125_5_0:[11664, 10.948216735253773, 89.05178326474623]
model_125_15_0:[11664, 8.804869684499314, 91.19513031550068]
model_100_10_0:[11664, 9.250685871056241, 90.74931412894375]
model_25_10_0:[11664, 4.98113854595336, 95.01886145404664]
model_225_5_0:[11664, 10.476680384087791, 89.52331961591221]
model_50_15_0:[11664, 7.210219478737997, 92.789780521262]
model_175_15_0:[11664, 9.327846364883403, 90.6721536351166]
model_225_10_0:[11664, 8.830589849108367, 91.16941015089162]
model_75_10_0:[11664, 8.410493827160494, 91.5895061728395]
model_50_5_0:[11664, 8.942043895747599, 91.0579561042524]
model_200_15_0:[11664, 8.607681755829905, 91.3923182441701]
model_150_10_0:[11664, 9.465020576131687, 90.53497942386831]
