model:[vocabulary,percentage_correct,percentage_incorrect]
model_75_15_0:[12093, 12.238485074009759, 87.76151492599024]
model_200_10_0:[12093, 13.462333581410736, 86.53766641858927]
model_150_15_0:[12093, 12.8669478210535, 87.1330521789465]
model_50_10_0:[12093, 10.940213346564127, 89.05978665343586]
model_100_5_0:[12093, 14.322335235260066, 85.67766476473993]
model_175_10_0:[12093, 13.875795914992144, 86.12420408500786]
model_225_15_0:[12093, 13.222525427933515, 86.77747457206648]
model_100_15_0:[12093, 12.354254527412554, 87.64574547258745]
model_25_15_0:[12093, 5.912511370214173, 94.08748862978584]
model_125_10_0:[12093, 13.677333994873067, 86.32266600512693]
model_150_5_0:[12093, 15.05002894236335, 84.94997105763666]
model_75_5_0:[12093, 12.999255767799553, 87.00074423220045]
model_25_5_0:[12093, 8.01290002480774, 91.98709997519225]
model_200_5_0:[12093, 14.578681882080543, 85.42131811791945]
model_175_5_0:[12093, 13.553295294798644, 86.44670470520136]
model_125_5_0:[12093, 14.165219548499131, 85.83478045150088]
model_125_15_0:[12093, 12.494831720830232, 87.50516827916977]
model_100_10_0:[12093, 13.10675597453072, 86.89324402546929]
model_25_10_0:[12093, 7.194244604316546, 92.80575539568345]
model_225_5_0:[12093, 14.81849003555776, 85.18150996444224]
model_50_15_0:[12093, 9.641941619118498, 90.3580583808815]
model_175_15_0:[12093, 12.428677747457206, 87.5713222525428]
model_225_10_0:[12093, 13.520218308112131, 86.47978169188787]
model_75_10_0:[12093, 12.155792607293476, 87.84420739270652]
model_50_5_0:[12093, 12.064830893905565, 87.93516910609443]
model_200_15_0:[12093, 12.519639460845116, 87.48036053915487]
model_150_10_0:[12093, 13.205986934590259, 86.79401306540974]
