model:[vocabulary,percentage_correct,percentage_incorrect]
model_75_15_0:[10838, 11.192101863812512, 88.80789813618749]
model_200_10_0:[10838, 13.138955526849971, 86.86104447315003]
model_150_15_0:[10838, 12.529987082487542, 87.47001291751245]
model_50_10_0:[10838, 9.688134342129544, 90.31186565787046]
model_100_5_0:[10838, 13.434212954419635, 86.56578704558036]
model_175_10_0:[10838, 12.631481823214616, 87.36851817678539]
model_225_15_0:[10838, 12.732976563941687, 87.26702343605831]
model_100_15_0:[10838, 11.524266469828381, 88.47573353017162]
model_25_15_0:[10838, 4.484222181214246, 95.51577781878575]
model_125_10_0:[10838, 12.908285661561173, 87.09171433843883]
model_150_5_0:[10838, 13.609522052039122, 86.39047794796087]
model_75_5_0:[10838, 12.391585163314264, 87.60841483668574]
model_25_5_0:[10838, 6.578704558036538, 93.42129544196347]
model_200_5_0:[10838, 13.664882819708431, 86.33511718029156]
model_175_5_0:[10838, 13.581841668204467, 86.41815833179554]
model_125_5_0:[10838, 12.982100018453588, 87.0178999815464]
model_125_15_0:[10838, 11.275143015316479, 88.72485698468353]
model_100_10_0:[10838, 12.871378483114965, 87.12862151688503]
model_25_10_0:[10838, 6.025096881343421, 93.97490311865658]
model_225_5_0:[10838, 13.157409116073076, 86.84259088392693]
model_50_15_0:[10838, 8.562465399520207, 91.4375346004798]
model_175_15_0:[10838, 12.299317217198745, 87.70068278280125]
model_225_10_0:[10838, 12.880605277726517, 87.11939472227348]
model_75_10_0:[10838, 11.791843513563387, 88.20815648643662]
model_50_5_0:[10838, 10.970658793135264, 89.02934120686473]
model_200_15_0:[10838, 11.653441594390108, 88.34655840560988]
model_150_10_0:[10838, 12.862151688503415, 87.1378483114966]
