model:[vocabulary,percentage_correct,percentage_incorrect]
model_75_15_0:[12538, 19.56452384750359, 80.4354761524964]
model_200_10_0:[12538, 21.670122826607113, 78.32987717339289]
model_150_15_0:[12538, 21.390971446801725, 78.60902855319829]
model_50_10_0:[12538, 15.576646993140852, 84.42335300685914]
model_100_5_0:[12538, 20.649226351890253, 79.35077364810975]
model_175_10_0:[12538, 21.478704737597702, 78.5212952624023]
model_225_15_0:[12538, 21.989152974956134, 78.01084702504386]
model_100_15_0:[12538, 19.91545701068751, 80.0845429893125]
model_25_15_0:[12538, 9.307704578082628, 90.69229542191736]
model_125_10_0:[12538, 20.92040197798692, 79.07959802201307]
model_150_5_0:[12538, 21.39894720051045, 78.60105279948955]
model_75_5_0:[12538, 19.397033019620356, 80.60296698037965]
model_25_5_0:[12538, 9.363534854043708, 90.6364651459563]
model_200_5_0:[12538, 21.638219811772213, 78.3617801882278]
model_175_5_0:[12538, 21.16765034295741, 78.83234965704258]
model_125_5_0:[12538, 20.88052320944329, 79.1194767905567]
model_125_15_0:[12538, 19.995214547774765, 80.00478545222524]
model_100_10_0:[12538, 20.816717179773487, 79.18328282022651]
model_25_10_0:[12538, 9.794225554314883, 90.20577444568512]
model_225_5_0:[12538, 22.316158877013876, 77.68384112298612]
model_50_15_0:[12538, 15.488913702344872, 84.51108629765513]
model_175_15_0:[12538, 21.741904609985642, 78.25809539001436]
model_225_10_0:[12538, 22.49162545860584, 77.50837454139416]
model_75_10_0:[12538, 19.165736162067315, 80.83426383793268]
model_50_5_0:[12538, 15.903652895198597, 84.09634710480141]
model_200_15_0:[12538, 20.553517307385547, 79.44648269261445]
model_150_10_0:[12538, 20.465784016589566, 79.53421598341043]
