model:[vocabulary,percentage_correct,percentage_incorrect]
model_75_5_1:[11923, 13.53686152813889, 86.46313847186111]
model_200_5_1:[11923, 13.310408454248094, 86.68959154575191]
model_25_5_1:[11923, 7.42262853308731, 92.5773714669127]
model_150_15_1:[11923, 12.580726327266628, 87.41927367273338]
model_200_10_1:[11923, 11.062652017109787, 88.93734798289022]
model_75_15_1:[11923, 11.507171014006543, 88.49282898599346]
model_225_15_1:[11923, 11.25555648746121, 88.7444435125388]
model_175_10_1:[11923, 11.230395034806676, 88.76960496519332]
model_50_10_1:[11923, 10.995554810031033, 89.00444518996898]
model_100_5_1:[11923, 14.048477732114401, 85.9515222678856]
model_25_15_1:[11923, 6.05552293885767, 93.94447706114232]
model_100_15_1:[11923, 12.12782017948503, 87.87217982051497]
model_150_5_1:[11923, 13.712991696720625, 86.28700830327938]
model_125_10_1:[11923, 12.094271575945651, 87.90572842405436]
model_225_5_1:[11923, 12.362660404260673, 87.63733959573933]
model_125_15_1:[11923, 12.580726327266628, 87.41927367273338]
model_25_10_1:[11923, 6.290363163633314, 93.70963683636668]
model_100_10_1:[11923, 12.773630797618049, 87.22636920238195]
model_225_10_1:[11923, 10.911683301182588, 89.08831669881742]
model_175_15_1:[11923, 11.909754256479074, 88.09024574352092]
model_50_15_1:[11923, 10.064581061813302, 89.9354189381867]
model_150_10_1:[11923, 12.027174368866895, 87.9728256311331]
model_200_15_1:[11923, 11.859431351170008, 88.14056864883]
model_75_10_1:[11923, 12.429757611339427, 87.57024238866057]
model_50_5_1:[11923, 11.758785540551875, 88.24121445944813]
model_175_5_1:[11923, 13.603958735217647, 86.39604126478235]
model_125_5_1:[11923, 14.107187788308313, 85.89281221169169]
