model:[vocabulary,percentage_correct,percentage_incorrect]
model_75_5_1:[13330, 18.73218304576144, 81.26781695423855]
model_200_5_1:[13330, 19.122280570142536, 80.87771942985746]
model_25_5_1:[13330, 9.59489872468117, 90.40510127531883]
model_150_15_1:[13330, 21.88297074268567, 78.11702925731433]
model_200_10_1:[13330, 20.525131282820706, 79.47486871717929]
model_75_15_1:[13330, 20.052513128282072, 79.94748687171793]
model_225_15_1:[13330, 21.087771942985746, 78.91222805701426]
model_175_10_1:[13330, 21.177794448612154, 78.82220555138785]
model_50_10_1:[13330, 16.586646661665416, 83.41335333833459]
model_100_5_1:[13330, 18.994748687171793, 81.00525131282821]
model_25_15_1:[13330, 10.090022505626408, 89.90997749437359]
model_100_15_1:[13330, 21.42535633908477, 78.57464366091523]
model_150_5_1:[13330, 19.527381845461363, 80.47261815453864]
model_125_10_1:[13330, 21.207801950487625, 78.79219804951238]
model_225_5_1:[13330, 18.83720930232558, 81.16279069767441]
model_125_15_1:[13330, 21.75543885971493, 78.24456114028507]
model_25_10_1:[13330, 9.707426856714179, 90.29257314328582]
model_100_10_1:[13330, 20.38259564891223, 79.61740435108777]
model_225_10_1:[13330, 20.097524381095276, 79.90247561890472]
model_175_15_1:[13330, 21.605401350337583, 78.39459864966241]
model_50_15_1:[13330, 17.261815453863466, 82.73818454613654]
model_150_10_1:[13330, 21.087771942985746, 78.91222805701426]
model_200_15_1:[13330, 21.29032258064516, 78.70967741935485]
model_75_10_1:[13330, 19.16729182295574, 80.83270817704427]
model_50_5_1:[13330, 15.746436609152287, 84.2535633908477]
model_175_5_1:[13330, 19.399849962490624, 80.60015003750938]
model_125_5_1:[13330, 19.744936234058514, 80.25506376594149]
