model:[vocabulary,percentage_correct,percentage_incorrect]
model_75_5_1:[12455, 8.438378161380971, 91.56162183861903]
model_200_5_1:[12455, 8.27780008028904, 91.72219991971096]
model_25_5_1:[12455, 5.86109995985548, 94.13890004014452]
model_150_15_1:[12455, 7.4668807707747895, 92.5331192292252]
model_200_10_1:[12455, 7.250100361300682, 92.74989963869932]
model_75_15_1:[12455, 7.595343235648334, 92.40465676435167]
model_225_15_1:[12455, 6.856684062625451, 93.14331593737455]
model_175_10_1:[12455, 7.250100361300682, 92.74989963869932]
model_50_10_1:[12455, 7.177840224809313, 92.82215977519068]
model_100_5_1:[12455, 8.663187474909675, 91.33681252509032]
model_25_15_1:[12455, 4.793255720594139, 95.20674427940587]
model_100_15_1:[12455, 7.828181453231633, 92.17181854676836]
model_150_5_1:[12455, 8.390204737053391, 91.6097952629466]
model_125_10_1:[12455, 7.482938578883982, 92.51706142111603]
model_225_5_1:[12455, 8.293857888398232, 91.70614211160176]
model_125_15_1:[12455, 7.490967482938579, 92.50903251706141]
model_25_10_1:[12455, 5.010036130068245, 94.98996386993176]
model_100_10_1:[12455, 7.667603372139703, 92.3323966278603]
model_225_10_1:[12455, 7.041348855881171, 92.95865114411883]
model_175_15_1:[12455, 7.298273785628262, 92.70172621437173]
model_50_15_1:[12455, 7.057406663990365, 92.94259333600964]
model_150_10_1:[12455, 7.426736250501806, 92.5732637494982]
model_200_15_1:[12455, 7.073464472099558, 92.92653552790044]
model_75_10_1:[12455, 7.4749096748293855, 92.52509032517061]
model_50_5_1:[12455, 7.62745885186672, 92.37254114813328]
model_175_5_1:[12455, 8.342031312725814, 91.65796868727418]
model_125_5_1:[12455, 8.550782818145324, 91.44921718185468]
