model:[vocabulary,percentage_correct,percentage_incorrect]
model_75_5_1:[12992, 20.42795566502463, 79.57204433497537]
model_200_5_1:[12992, 22.398399014778324, 77.60160098522168]
model_25_5_1:[12992, 10.968288177339902, 89.0317118226601]
model_150_15_1:[12992, 24.684421182266007, 75.31557881773398]
model_200_10_1:[12992, 22.914100985221676, 77.08589901477832]
model_75_15_1:[12992, 23.47598522167488, 76.52401477832512]
model_225_15_1:[12992, 23.78386699507389, 76.2161330049261]
model_175_10_1:[12992, 23.291256157635466, 76.70874384236454]
model_50_10_1:[12992, 18.703817733990146, 81.29618226600985]
model_100_5_1:[12992, 21.74415024630542, 78.25584975369459]
model_25_15_1:[12992, 11.453201970443349, 88.54679802955665]
model_100_15_1:[12992, 24.69981527093596, 75.30018472906403]
model_150_5_1:[12992, 22.229064039408865, 77.77093596059113]
model_125_10_1:[12992, 23.95320197044335, 76.04679802955665]
model_225_5_1:[12992, 22.167487684729064, 77.83251231527095]
model_125_15_1:[12992, 24.776785714285715, 75.22321428571429]
model_25_10_1:[12992, 10.95289408866995, 89.04710591133005]
model_100_10_1:[12992, 22.92179802955665, 77.07820197044335]
model_225_10_1:[12992, 22.329125615763548, 77.67087438423646]
model_175_15_1:[12992, 24.291871921182263, 75.70812807881774]
model_50_15_1:[12992, 19.650554187192117, 80.34944581280789]
model_150_10_1:[12992, 23.72229064039409, 76.27770935960592]
model_200_15_1:[12992, 23.68380541871921, 76.31619458128078]
model_75_10_1:[12992, 22.021243842364534, 77.97875615763546]
model_50_5_1:[12992, 17.53386699507389, 82.4661330049261]
model_175_5_1:[12992, 22.229064039408865, 77.77093596059113]
model_125_5_1:[12992, 22.629310344827587, 77.37068965517241]
