model:[vocabulary,percentage_correct,percentage_incorrect]
model_75_5_1:[12093, 15.637145456048954, 84.36285454395104]
model_200_5_1:[12093, 15.736376416108492, 84.26362358389152]
model_25_5_1:[12093, 7.913669064748201, 92.08633093525181]
model_150_15_1:[12093, 15.480029769288016, 84.51997023071198]
model_200_10_1:[12093, 15.79426114280989, 84.20573885719011]
model_75_15_1:[12093, 14.835028528901017, 85.16497147109898]
model_225_15_1:[12093, 14.49598941536426, 85.50401058463574]
model_175_10_1:[12093, 16.373108409823864, 83.62689159017613]
model_50_10_1:[12093, 14.041180848424709, 85.9588191515753]
model_100_5_1:[12093, 16.430993136525263, 83.56900686347474]
model_25_15_1:[12093, 7.293475564376085, 92.70652443562392]
model_100_15_1:[12093, 15.587529976019185, 84.41247002398082]
model_150_5_1:[12093, 16.596378069957826, 83.40362193004218]
model_125_10_1:[12093, 16.927147936822955, 83.07285206317705]
model_225_5_1:[12093, 15.537914495989416, 84.46208550401059]
model_125_15_1:[12093, 15.413875795914992, 84.58612420408501]
model_25_10_1:[12093, 7.6490531712560985, 92.3509468287439]
model_100_10_1:[12093, 16.935417183494582, 83.06458281650542]
model_225_10_1:[12093, 15.38079880922848, 84.61920119077152]
model_175_15_1:[12093, 15.537914495989416, 84.46208550401059]
model_50_15_1:[12093, 13.189448441247004, 86.810551558753]
model_150_10_1:[12093, 16.5881088232862, 83.41189117671381]
model_200_15_1:[12093, 15.041759695691722, 84.95824030430828]
model_75_10_1:[12093, 16.08368477631688, 83.91631522368313]
model_50_5_1:[12093, 13.925411395021914, 86.07458860497809]
model_175_5_1:[12093, 16.16637724303316, 83.83362275696685]
model_125_5_1:[12093, 16.637724303315967, 83.36227569668402]
