model:[vocabulary,percentage_correct,percentage_incorrect]
model_75_5_1:[12569, 10.661150449518656, 89.33884955048134]
model_200_5_1:[12569, 11.798870236295649, 88.20112976370436]
model_25_5_1:[12569, 5.258970482934203, 94.7410295170658]
model_150_15_1:[12569, 11.78295807144562, 88.21704192855438]
model_200_10_1:[12569, 11.639748587795369, 88.36025141220463]
model_75_15_1:[12569, 10.613413954968573, 89.38658604503142]
model_225_15_1:[12569, 11.440846527170022, 88.55915347282998]
model_175_10_1:[12569, 11.886387142970802, 88.1136128570292]
model_50_10_1:[12569, 8.703954172965233, 91.29604582703476]
model_100_5_1:[12569, 11.647704670220383, 88.35229532977962]
model_25_15_1:[12569, 4.845254196833479, 95.15474580316652]
model_100_15_1:[12569, 11.337417455644841, 88.66258254435516]
model_150_5_1:[12569, 11.615880340520327, 88.38411965947968]
model_125_10_1:[12569, 11.96594796722094, 88.03405203277906]
model_225_5_1:[12569, 11.790914153870634, 88.20908584612937]
model_125_15_1:[12569, 11.74317765932055, 88.25682234067945]
model_25_10_1:[12569, 4.892990691383563, 95.10700930861644]
model_100_10_1:[12569, 11.393110032619939, 88.60688996738007]
model_225_10_1:[12569, 11.464714774445063, 88.53528522555494]
model_175_15_1:[12569, 11.687485082345454, 88.31251491765455]
model_50_15_1:[12569, 8.656217678415148, 91.34378232158485]
model_150_10_1:[12569, 12.08528920359615, 87.91471079640385]
model_200_15_1:[12569, 11.663616835070412, 88.33638316492959]
model_75_10_1:[12569, 10.581589625268517, 89.41841037473148]
model_50_5_1:[12569, 9.149494788766011, 90.850505211234]
model_175_5_1:[12569, 11.82273848357069, 88.17726151642931]
model_125_5_1:[12569, 11.735221576895537, 88.26477842310446]
