model:[vocabulary,percentage_correct,percentage_incorrect]
model_75_5_1:[10838, 13.950913452666544, 86.04908654733346]
model_200_5_1:[10838, 14.781324967706219, 85.21867503229377]
model_25_5_1:[10838, 8.036538106661746, 91.96346189333825]
model_150_15_1:[10838, 13.757150765823953, 86.24284923417605]
model_200_10_1:[10838, 14.024727809558959, 85.97527219044105]
model_75_15_1:[10838, 12.668389001660824, 87.33161099833919]
model_225_15_1:[10838, 12.622255028603064, 87.37774497139694]
model_175_10_1:[10838, 14.144676139509135, 85.85532386049086]
model_50_10_1:[10838, 11.754936335117181, 88.24506366488282]
model_100_5_1:[10838, 14.541428307805868, 85.45857169219413]
model_25_15_1:[10838, 6.135818416682045, 93.86418158331796]
model_100_15_1:[10838, 13.526480900535153, 86.47351909946485]
model_150_5_1:[10838, 15.50101494740727, 84.49898505259273]
model_125_10_1:[10838, 14.393799594021036, 85.60620040597897]
model_225_5_1:[10838, 14.40302638863259, 85.59697361136742]
model_125_15_1:[10838, 13.858645506551023, 86.14135449344897]
model_25_10_1:[10838, 6.292673925078428, 93.70732607492157]
model_100_10_1:[10838, 14.476840745525005, 85.523159254475]
model_225_10_1:[10838, 13.378852186750322, 86.62114781324968]
model_175_15_1:[10838, 13.277357446023252, 86.72264255397675]
model_50_15_1:[10838, 10.601587008673187, 89.39841299132681]
model_150_10_1:[10838, 14.12622255028603, 85.87377744971397]
model_200_15_1:[10838, 12.742203358553239, 87.25779664144676]
model_75_10_1:[10838, 13.803284738881713, 86.19671526111829]
model_50_5_1:[10838, 12.290090422587193, 87.7099095774128]
model_175_5_1:[10838, 15.316479055176233, 84.68352094482377]
model_125_5_1:[10838, 15.288798671341574, 84.71120132865842]
