model:[vocabulary,percentage_correct,percentage_incorrect]
model_75_5_1:[12538, 21.518583506141333, 78.48141649385867]
model_200_5_1:[12538, 23.61620673153613, 76.38379326846388]
model_25_5_1:[12538, 11.054394640293507, 88.94560535970649]
model_150_15_1:[12538, 23.32110384431329, 76.67889615568672]
model_200_10_1:[12538, 23.010049449672994, 76.989950550327]
model_75_15_1:[12538, 20.784814164938588, 79.2151858350614]
model_225_15_1:[12538, 22.91434040516829, 77.08565959483171]
model_175_10_1:[12538, 23.26527356835221, 76.73472643164779]
model_50_10_1:[12538, 18.272451746690063, 81.72754825330993]
model_100_5_1:[12538, 22.802679853246133, 77.19732014675387]
model_25_15_1:[12538, 10.216940500877334, 89.78305949912266]
model_100_15_1:[12538, 22.340086138140055, 77.65991386185995]
model_150_5_1:[12538, 23.9511883873026, 76.04881161269739]
model_125_10_1:[12538, 23.504546179613975, 76.49545382038603]
model_225_5_1:[12538, 23.225394799808583, 76.77460520019142]
model_125_15_1:[12538, 23.52847344074015, 76.47152655925986]
model_25_10_1:[12538, 10.384431328760568, 89.61556867123943]
model_100_10_1:[12538, 23.1695645238475, 76.83043547615249]
model_225_10_1:[12538, 22.092837773169567, 77.90716222683044]
model_175_15_1:[12538, 23.20944329239113, 76.79055670760887]
model_50_15_1:[12538, 17.81783378529271, 82.18216621470728]
model_150_10_1:[12538, 23.64810974637103, 76.35189025362898]
model_200_15_1:[12538, 23.472643164779072, 76.52735683522093]
model_75_10_1:[12538, 21.510607752432605, 78.4893922475674]
model_50_5_1:[12538, 18.00925187430212, 81.99074812569788]
model_175_5_1:[12538, 24.326048811612697, 75.6739511883873]
model_125_5_1:[12538, 23.991067155846228, 76.00893284415378]
